,news
867,Why are residents of Goa’s Panaji opposing casinos?
868,"CM Pushkar Singh Dhami sought probe on ad hoc appointments, terminated services: Uttarakhand govt"
869,‘Sanitation issues’ during Governor’s stay: Indore cancels housekeeping tender at historic Residency Kothi
870,"Bank Holiday Today: Are banks open or closed on Friday, February 20? Check city-wise operational status"
871,"Fortune and future in AI, not fear… it’s for global good: PM Modi at AI Impact Summit"
872,Fiasco at India AI Expo: Galgotias University bagged a booth bigger than what 4 IITs combined got
873,OpenAI CEO Sam Altman is guest at Express Adda today
874,India set to join US-led Pax Silica today on sidelines of AI summit
875,India attends Trump’s Gaza board meeting as observer
876,"To ensure focus remains on summit priorities, says Gates Foundation"
877,Priyanka Gandhi releases 20-point ‘people’s chargesheet’ against Himanta government ahead of Assam polls
878,Need naval forces to join hands to tackle maritime threats: Rajnath Singh
879,All tourist sites closed after Pahalgam will open by May 2026: Omar Abdullah announces full sector revival in J-K House
880,Right to life includes dignity: Gauhati High Court tells Assam govt to help 600 evicted families
881,"One million youth, a Quantum university, and AI labs: Chandrababu Naidu’s aggressive blueprint for Andhra Pradesh"
882,"Kota man threatens to shoot Rahul Gandhi at his home, arrested"
883,Indian Railways revises schedule of Firozpur Cantt-Delhi Vande Bharat Express train
884,‘Are they not Indians?’: Sajad Lone slams police verification of J&K residents
885,"‘I am not a flight risk’: Anil Ambani files undertaking in Supreme Court amid Rs 40,000 crore fraud probe"
886,IRCTC tightens rules: Aadhaar verification must for advance and Tatkal bookings
887,"As terrorists shift base to mountains and dense forests, a weekly security review to bring Jammu and Kashmir closer"
888,"Indian Railways revises schedule of 43rd Vande Bharat train – check route, travel time, stoppages, timings, ticket price"
889,"Rishikesh-Karnaprayag rail project likely to be completed by December 2028, says RVNL CMD"
890,"Top News Headlines of February 19, 2026 | How US military is deploying its arsenal to strike Iran: Full breakdown amid Trump’s fresh warning"
891,‘Western countries cutting assistance… using AI to anticipate crisis and intervene early and it is helping us save money and lives’ : WFP
892,"Veteran journalist Govindan Kutty, who survived 1977 plane crash with Morarji Desai, dies at 81"
893,"At Delhi AI Impact Summit 2026, PM Modi unveils ‘MANAV’ vision for artificial intelligence"
894,Bihar’s ‘last Naxal’: Surrender that ‘brought Maoist activity to end’ in the stats
895,"Kerala Story 2 trailer: CM Pinarayi Vijayan urges people to reject ‘hate campaign’, says ‘truth must prevail over lies’"
896,"‘Right-sizing’ federalism: Tamil Nadu panel headed by Justice Kurian Joseph calls for changes in language policy, Governor post"
897,"On the wrong train at age 6, home at 20: The 14-year journey of a lost boy from Jharkhand"
898,"India AI Impact Summit: Flood alerts, speech synthesis to waste segregation, IITs focus wide and deep"
899,"Indore MBA student’s gruesome murder: ‘Whatever happened, happened,’ says accused as police reveal circumstances that led to killing"
900,"With its strong presence, Europe gives India a vote of ‘AI confidence’"
901,Coming to New York’s iconic Carnegie Hall: Annual festival dedicated to Indian music
902,"Only 300 Maoists left: In final push, forces zero in on last pockets to meet 2026 deadline"
903,"Ignoring rules & red flags, 2 Uttarakhand CMs cleared 227 ad hoc appointments to Vidhan Sabha office"
904,Manohar Parrikar’s son Utpal launches panel against BJP-backed candidates for Panaji municipal polls
905,"International Fleet Review at Visakhapatnam: Indian Navy vigilant in safeguarding country’s maritime interests, promoting goodwill around globe, says Murmu"
906,RLM MLA calls for review of Bihar’s prohibition – ‘Time for review’
907,"Emphasis on school children’s nutrition, Simhastha Mahaparv prep: What Madhya Pradesh’s record Budget has in store"
908,Jal Jeevan Mission case: Rajasthan seeks LOC against retired IAS Subodh Agarwal
909,Bars to be open till midnight in Kerala: Govt cites complaints over restrictions despite heavy licensing fee
910,EU opens legal gateway office in Delhi; Jaishankar says ‘mobility with purpose’
911,"18 years later, J&K govt admits 4 Jammu University campuses exist only on paper"
912,"Assam election: ECI says will factor in Bihu, praises officials after only 500 appeals following final voter list"
913,"Made in China, unmade at summit: Galgotias exits after robot fiasco"
914,"Swiss President Interview: ‘We welcome summit focus, need to shield democracies, rule of law against AI threat’"
915,"‘Weaponised’ vs ‘terrorised’: Supreme Court adjourns hearing on ED plea against I-PAC, Mamata Banerjee"
916,"‘My future will be ruined,’ pleads man as Bihar woman constable ‘negotiates’ bribe inside police vehicle"
917,"Lawyer ‘drags TCS employee on car bonnet for over a kilometre’, says he feared being lynched"
918,"Singed by Bhupen Borah’s exit, Gaurav Gogoi now insinuates he was passing information to Himanta"
919,"Behind Odisha twins who scored identical marks in JEE Mains, a mother’s sacrifice"
920,Baby boom at Kuno: India’s cheetah population grows to 38 as ‘Gamini’ becomes mother for second time
921,Why a massive Arunachal power project got an 11-year green nod extension
922,"WATCH: Cheetah Gamini delivers 3 cubs at Kuno National Park, India’s count rises to 38"
923,"After Chinese robot debacle, govt asks Galgotias University to vacate India AI Expo"
924,"Gold Today Rate, February 18: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
925,"Rajya Sabha elections on March 16: From Sharad Pawar to Priyanka Chaturvedi, here are the MPs whose terms end in April"
926,Taj Mahotsav 2026: Agra’s grand celebration of India’s cultural heritage returns with 35th edition
927,"Tamil Nadu’s election-year budget bets on welfare, growth – and a trillion-dollar promise"
928,‘Rajya mata’ status for cow and 7 adjournments: The storm inside Rajasthan Assembly
929,"Asked to explain Indore drinking water deaths, BJP’s Vijayvargiya reminds Congress of 1984 Bhopal gas tragedy"
930,17 accused of killing father and son during 2023 communal flare-up in Biranpur acquitted
931,A cadet’s disappearance at sea leaves a family searching for answers
932,"School evacuation before board exam lays bare Manipur faultlines, little clarity on when 51 Kuki students will return"
933,"Tarique Rahman takes charge in Dhaka, PM sends India invitation"
934,"In India-France defence dialogue, push for Rafale indigenous content, MRO facilities for aero engines"
935,India and France upgrade ties to Special Global Strategic Partnership
936,‘Not party stand’: Venugopal clears air over chatter in Congress over power sharing in Tamil Nadu
937,‘We are working on safe and trusted AI for the people’: IIT Madras Director Veezhinathan Kamakoti
938,"AI a force-multiplier, it would add more tech jobs to nation’s economy: PM Modi"
939,"Congress insisted they had convinced him to stay. Day later, party’s ex-Assam chief confirms switch to BJP"
940,"Two from Kashmir charged for ‘anti-national, secessionist, and pro-terrorist content’ on social media"
941,"Bihar’s Rs 468 crore AI leap: 10,000 new tech jobs and a landmark research park at IIT Patna"
942,"A mammoth cover-up: Odisha issues notice to divisional forest officer as dead elephant is ‘cut into 32 pieces, buried’"
943,‘World’s only helicopter to fly at Everest heights will be made in India’: Modi on India-France H125 project
944,9 senior engineers arrested after early-morning raids in ‘Rs 960-crore Jal Jeevan Mission corruption case’
945,"Another death in a pit: Kerala biker falls to his death, days before leaving for job abroad"
946,"Decision on J&K statehood soon, says Union Minister; Omar cautions: ‘Been waiting for a year and a half’"
947,In numbers: How wildlife conflict has dropped across J&K
948,Senior Bihar bureaucrat in eye of storm for taking chartered plane with family
949,"‘BJP budget like birth of a boy, Congress budget a girl child’: Rajasthan BJP MLA"
950,From ‘Tiger School’ to tragic end: Rewilded cub N7 dies weeks after release into the wild
951,"Top News Headlines of February 17, 2026 | Gujarat Confidential: Live-streaming ‘rights’"
952,"Emmanuel Macron India Visit Live Updates: AI development should serve humanity without overdependence on few global powers, says Macron"
953,"Gold Today Rate, February 17: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
954,"At India AI Impact Summit, media leaders stress upon structured dialogue between technology and journalism"
955,Solar Eclipse (Surya Grahan) 2026: Year’s first annular solar eclipse ends
956,Former Goa minister Vinod Palyekar booked in sexual harassment case
957,Haryana’s ‘Dr Morphine’ at centre of Rs 209-crore cyber scam busted in J-K
958,"On day of high drama for Assam Congress, MLA Abdur Rashid Mandal switches over to Raijor Dal"
959,Fast for cow shelter in a journalism university — by Congress’s student wing
960,"A mining tragedy and a crackdown: Over 15,000 tonnes of illegal coal impounded in Meghalaya"
961,"Private car, ‘illegal mining’, and a fatal assault: Chhattisgarh SDM arrested in murder case"
962,From German Shepherds to local canines: Madhya Pradesh considers introducing Indian breeds into forest dog squads
963,"Kova bun seller was harassed by YouTubers over ‘food jihad’ claims. Then, Andhra minister Nara Lokesh rallied behind him"
964,United Goa firm on Dabolim airport’s fate: ‘Touching it will kill economy’
965,"ED slaps Rs 184-cr FEMA penalty on NewsClick, editor"
966,Domestic newsprint production meeting only 40% of demand: INS
967,Indian in Mali jail: MEA writes to employer for urgent hearing
968,"Tripura student murder case: Prime accused ‘still in Nepal’, Dehradun police file chargesheet against 6"
969,Terrorist posters in Kathua and new 5 km border restrictions: Why security forces are on high alert in Jammu
970,"Nitish govt transfers Rs 10,000 each to 25 lakh women; total number of beneficiaries now 1.81 crore"
971,"PM Modi likely to visit Israel on Feb 25, hold talks with Netanyahu"
972,"From Yousmarg to Peer Ki Gali: Shut after Pahalgam attack, 14 tourists spots in J-K reopened to public"
973,"Holi 2026: Central Railway announces 186 special train services – check routes, stops, timings"
974,"‘Centre and states should publicly reassure that minorities are safe’: Poola Anthony, India’s first Dalit Cardinal to lead CBCI"
975,"‘Fact, fiction and WhatsApp forwards’: Karti Chidambaram reacts to ‘cameo’ in Aditya Dhar’s Dhurandhar"
976,"Hot days this week over northwest and peninsular India, says IMD"
977,Indo-Russia partnership: RVNL targets June 2026 to roll out first Vande Bharat Sleeper prototype
978,"Bullet train: After Vande Bharat, Govt focuses on designing & manufacturing 280 kmph high-speed trains"
979,India AI Impact Summit 2026 begins: From nearest Delhi Metro station to parking facility – All you need to know
980,"After 3 month boycott over Dalit cook, residents of Odisha village finally send their children to anganwadi"
981,"Election Commission to showcase its all-in-one app to State Election Commissions, with offer of developing version for them"
982,7 workers killed as fire tears through Rajasthan chemical factory
983,‘Question of self-respect’: Former Assam Congress chief Bhupen Borah quits party ahead of polls
984,"Top News Headlines of February 16, 2026 | Deleted all social media apps on his smartphone, sacrificed time with friends: JEE Main topper’s single-minded focus on exam goal"
985,"NGT clears Rs 80,000-crore Great Nicobar project, cites ‘strategic’ role, no ‘good ground’ to interfere"
986,"Bill Gates arrives in Andhra Pradesh, to hold talks with CM Naidu on health and AI"
987,"Udaipur-Asarva Vande Bharat train to commence inaugural run today: check stoppages, timings"
988,‘Organised thrusting of smallness’: Amartya Sen warns of ‘weakening secularism’ in India
989,13-year-old Christian boy denied burial in Odisha village over church relocation row
990,"MBA student said she’ll return home after birthday party. 4 days later, her father identified body by her socks in a locked flat"
991,What are ‘hornbill restaurants’? Behind Chhattisgarh’s plan to make tiger reserve a haven for rare bird
992,"Filmmaker who accused ex-Kerala MLA and director of sexual assault speaks: ‘When survivor remains anonymous, accused gets all the space’"
993,"Skewed Jammu, Kashmir quota data set to sharpen debate"
994,"Bluetooth in shoes, answers on Google: How cheating ring targeted GATE exam in Raipur"
995,"India-US security ties on upward trajectory, says US Commander"
996,We invite world’s data to reside in India: PM Modi ahead of AI Impact Summit 2026
997,Rs 3 crore bail bond: Nagpur woman runs pillar to post to free husband held in Mali over firm dispute
998,"Pinarayi Vijayan will be CM again, predicts Congress’s Mani Shankar Aiyar as he hails Kerala’s CPM govt"
999,"Mumbai-Ahmedabad bullet train fares proposed to be competitive with existing Rail, Air travel: Ashwini Vaishnaw"
1000,"Betrayal of farmers, trade deal gives US long-term grip on our agri system: Rahul Gandhi"
1001,"Udaipur-Asarva Vande Bharat train: IRCTC opens ticket booking – check fare, stops and speed"
1002,Lok Sabha Speaker Om Birla to represent India as Tarique Rahman takes oath as Bangladesh PM
1003,"120 days after he died in Saudi shootout, migrant worker’s body back in India; but his family is not yet ready to accept the remains"
1004,Vande Bharat Express: A timeline of the train service as it turns 7 today
1005,Railways conducts 160 kmph Kavach trial on Dadri-Tundla section using Vande Bharat rake
1006,‘I only see losses’: Omar warns of threat to Kashmir’s fruit growers from new Indo-US trade deal
1007,"Top News Headlines of February 15, 2026 | Metro collapse victim’s family refuses to claim body, seeks compensation, job for daughter"
1008,Over 300 endangered turtles found hidden in AC First-Class coach of Patna-Indore Express
1009,Exclusive | Srinagar’s heritage renaissance: Inside Rs 210 crore plan to transform walled city
1010,"Madhya Pradesh vegetable vendor ‘burgled’ several police houses. Then, law caught up with him"
1011,"Every day she cycles to the anganwadi, cleans up, lays out the mats – and waits, for kids who never come"
1012,"Pannun plot: In Nikhil Gupta’s guilty plea, US Justice Dept names R&AW"
1013,He took blame on himself… wanted to end it: Nikhil Gupta’s family on Pannun murder plot
1014,Puducherry final SIR roll shows 7.5% drop in voters
1015,Former R&AW officer also named in Pannun Plot: Police preparing supplementary chargesheet against Vikash Yadav in extortion and kidnapping case
1016,S Jaishankar at Munich Security Conference: ‘Strategic autonomy  runs deep… across political spectrum’
1017,"Arunachal hydel project will impact 23.4 lakh trees, but compensatory plantations will happen in MP"
1018,"Anil Ambani talked funds, defence, ‘dessert’ with Epstein until months before his arrest"
1019,"Nadda visits Uttarakhand, praises Dhami, calls for unity amid reports of factionalism"
1020,"After outrage over Sadhvi’s death, Rajasthan Police report rules out foul play"
1021,Jharkhand elephant attacks: 12 deaths in 10 days force residents to flee village
1022,"In Assam, Modi questions Congress on national security: ‘Kept the country in danger’"
1023,‘Need modern office as nation moves ahead’: Cabinet resolution on PMO shift to Seva Teerth
1024,Green light to first road-cum-rail tunnel under Brahmaputra river
1025,Posters of JeM Commander Saifullah surface across Doda as security forces bust forest hideout
1026,From Clean trains to Gati Shakti Cargo terminals: Railways reform plan 2026 targets on-board service and freight growth
1027,Cabinet approves Rs 1 lakh crore Urban Challenge Fund to force cities to ‘earn’ their own growth
1028,"Ballari-Hosapete 3rd & 4th Railway line project in Karnataka: check cost, timeline, significance"
1029,‘It’s a trap’: Rahul Gandhi says new US trade deal will ‘destroy’ India’s textile industry
1030,"Kochi father-daughter death: Autopsy reveals 6-year-old sexually abused, poisoned"
1031,"Rs 10,154 crore investment: Kasara-Manmad 3rd and 4th railway lines project gets Cabinet nod"
1032,‘We paid for everything’ — 11 Jharkhand workers rescued from Dubai allege assault and unpaid wages
1033,Inter-caste couple in Bhopal get police protection after knocking on court’s doors
1034,PM Modi lands on Northeast’s first Emergency Landing Facility in Assam. Here’s why it is important
1035,India’s first underwater twin-tube Road-cum-Rail tunnel in Assam: Here’s how this project could transform Northeast connectivity
1036,Cabinet approves Rs 1 lakh crore for Urban Challenge Fund: Know what it is
1037,‘Malicious investigation’: Madhya Pradesh HC overturns life sentence in Panna murder case over ‘fabricated’ evidence
1038,‘Highly unjust’: Chhattisgarh High Court after mother of constable killed in Maoist encounter denied pension
1039,"BJP leader arrested after roadside argument with judge, property demolished in Madhya Pradesh"
1040,Ola two-wheeler given for repair not returned: Goa consumer forum issues bailable warrant against Bhavish Aggarwal
1041,"In Jammu, no salary for govt officials who haven’t paid their water bills"
1042,"Vaishnaw: Asked to revise DPR, Kerala wants K-Rail treated as standalone project"
1043,"2 weeks after Ajit Pawar’s death, crash site becomes an unlikely landmark"
1044,20 heads of states to attend AI Impact Summit next week
1045,"After 4 years, India allows wheat export"
1046,"Seva Teerth, Kartavya Bhavan built to fulfil the aspirations of India: PM Modi"
1047,Pannun Assassination Plot: ‘Gupta worked at the direction of an Indian govt employee to arrange the murder plot’
1048,Pannun murder plot: Accused Nikhil Gupta pleads guilty in US court
1049,"K-Rail in limbo: Railways seeks DPR revision, state presses for standalone project"
1050,J&K Assembly Speaker demands law change as Minister admits Food Safety Act ‘deficiencies’
1051,This 73-year-old Kerala woman just taught a viral lesson in civic sense—and authorities are taking notes
1052,"Udaipur-Asarva (Ahmedabad) Vande Bharat train to commence commercial run next week: check stops, timings"
1053,"Rahul Gandhi’s conduct this Budget Session was undemocratic, anarchic: BJP"
1054,RPF arrests Nashik resident for placing snake in Mumbai-Solapur Vande Bharat Express
1055,"Railways cracks down on Fake IDs: 3 crore IRCTC user IDs deactivated, 13k suspicious email domains blocked"
1056,Railway projects in Kerala: DPR survey for 7 high-speed projects sanctioned with 160 kmph speed potential
1057,"Parliament Day 13 Highlights: Kharge-Chairman standoff, Oppn protest over Puri’s ‘Epstein link’ — All that happened today"
1058,Kalka-Shimla rail line: Northern Railway rolls out air brake coaches on UNESCO World Heritage section
1059,11 Dead in 10 Days:  ‘Erratic’ elephant herd is now terrorising Jharkhand districts
1060,"Large portions of my speech expunged without reason, restore it: Kharge to Chairman"
1061,National Highways toll charges revised from Feb 15 – here’s what it means for commuters
1062,"Court hearing in missing girl’s case takes a turn: Mother says she was attacked at home, branded a witch"
1063,"Stalin’s poll bonanza: Rs 5,000 in accounts of 1.31 crore women"
1064,"Yuge Yugeen Bharat Museum project’s budget, timeline ‘currently being determined’: Govt to Rajya Sabha"
1065,"Gold Today Rate, February 13: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
1066,"Fox-hole IED planted below main road in Bijapur detected, disposed"
1067,Puri Jagannath Temple’s secret 324-page Ratna Bhandar report to go public after 8 years
1068,Rajasthan university suspends 33 Kashmiri students over protest against lack of approval for nursing course
1069,"Himanta moves court: Gaurav Gogoi, Bhupesh Baghel restrained from making ‘defamatory statements’ against Assam CM"
1070,"Will Goa’s Dabolim Airport close? Amid rumours, Opposition MLAs turn up the heat"
1071,"Group disrupts Valentine’s Day ‘pre-event’ at Indore college, gets into heated argument with students"
1072,Epstein files fallout: Priyanka Gandhi Vadra demands Hardeep Puri’s resignation
1073,"Telangana Municipal Election Results 2026 HIGHLIGHTS: Congress registers decisive victory, wins 1537 wards"
1074,Vikram Misri meets Sergio Gor as India says joint statement is bedrock of US trade deal
1075,Education Minister Dharmendra Pradhan is guest at Adda today
1076,"Do what you can, not budging: Rahul Gandhi after BJP MP seeks his expulsion from Lok Sabha"
1077,Vande Mataram order attack on religious freedom: Muslim bodies
1078,"Committee hearing: Joint polls do not violate Constitution’s basic structure, says former CJI Gavai"
1079,"Brazilian President Luiz Inacio Lula da Silva in Delhi next week, will meet PM Modi"
1080,"Fed up with LDF & UDF, Kerala now looking to BJP-NDA with hope: PM Modi"
1081,"In a first, IAF instructors to train British pilots at Royal Air Force Valley"
1082,‘Reflects commitment to collaborative maritime security’: India assumes command of multinational training task force CTF 154
1083,"Dankuni-Surat freight corridor: Railway Board asks agency to update DPR, formalise optimum tech standards"
1084,"‘Every day, someone’s dignity is tarnished’ — J&K Assembly erupts over ‘fake news and doctored videos’"
1085,‘We don’t need this’: Rajasthan Health Minister remark over Right to Health law sparks outrage in Assembly
1086,How ritual prayer turned into a double murder in Madhya Pradesh’s Singrauli
1087,Top 10 busiest airports in India over the last three years
1088,"Defence Ministry signs Rs 2,312-crore deal with HAL for 8 Dornier 228 aircraft, equipment for Coast Guard"
1089,Fresh violence in Manipur: Two more houses set on fire in Ukhrul district
1090,"Indian Railways approves Rs 1,334 crore infra projects in UP, Rajasthan, MP and West Bengal"
1091,Telangana Municipal Election Results 2026: How to check ward-wise live vote counting on Telangana State Election Commission website
1092,"His gym membership plummeted for taking a stand. Now, ‘Mohammad’ Deepak gets some help from 15 Supreme Court Senior Advocates"
1093,"Railway Board asks DFCCIL to fast-track Dankuni–Surat Dedicated Freight Corridor, revise DPR"
1094,"From South Block to Seva Teerth: PM Modi to inaugurate new PMO complex, office buildings today"
1095,‘Unilateral and coercive decision’: Jamiat Ulama-i-Hind slams MHA for making all 6 stanzas of Vande Mataram mandatory
1096,‘You are not employed by BJP’: Rahul Gandhi hits out at media over ‘keyword’ coverage as Nishikant Dubey moves to cancel his Lok Sabha membership
1097,"DAC clears proposal to buy 114 Rafale jets from France, 90 to be manufactured in India with 50% indigenous content"
1098,‘Thuggery gang to destabilise India’: BJP moves substantive motion against Rahul Gandhi; demands life-long ban
1099,"‘You live in your India, we live in ours’: In sharp retort to Nirmala Sitharaman, Abhishek Banerjee says she doesn’t understand ‘a poor family’s grocery bill’"
1100,"In Rajya Sabha, Opposition says nothing in Budget for farmers, BJP calls it roadmap for the future"
1101,"AI in every classroom: BodhanAI will develop modules for teachers’ capacity building, says Dharmendra Pradhan"
1102,"In RS, Opp says nothing in Budget for farmers, BJP calls it roadmap for future"
1103,"Epstein emails show Puri meetings, visa help for aide"
1104,"From Braille to Bench: Meet 24-year-old lawyer Thanya, set to become Kerala’s first visually-impaired judge"
1105,"Gold Today Rate, February 12: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
1106,Andhra’s AI-facial recognition is ending the era of ‘proxy attendance’ for MLAs
1107,"Bharat Bandh News Today Live Updates: Congress backs nationwide strike, MPs stage protest outside Parliament"
1108,"Rahul Gandhi’s claim on India-US trade deal ridiculously false, says BJP"
1109,Behind Assam’s contentious Special Revision: Why over 2.4 lakh names have been deleted from voter list
1110,"DC, tehsildar ‘misappropriated funds’ for crucial Bharatmala road project, arrested"
1111,‘Dubious’ transactions at Sabarimala: High Court informed of lakhs sent via money orders by temple staff
1112,"EXCLUSIVE: Behind Madhya Pradesh cough syrup deaths: Bad batch, compromised system, a phone call"
1113,"Buffoonery, smear campaign: Puri hits out at Rahul’s Epstein remark"
1114,"Rahul slams Govt over US deal; He is misleading House, will file privilege notice, says Rijiju"
1115,"Sitharaman counters LoP on farmers, food security & data"
1116,Number of students going abroad falls sharply by 31% in two years
1117,"Rafale, Su-30, Tejas to be part of ‘Vayu Shakti’ at Pokhran, will highlight Operation Sindoor success"
1118,"Except Trump, nobody else has declared that India will stop buying Russian oil: Lavrov"
1119,Bharat Bandh on February 12: What services could get hit amid support from workers nationwide
1120,‘Let us consider the last two years a nightmare’: New Manipur CM visits relief camp in Jiribam district
1121,"‘Bijli, sadak, paani’: Key takeaways from Rajasthan’s Rs 6 lakh crore budget"
1122,"A family feud, a court plea and a daylight shooting: The chilling murder of Dehradun businessman"
1123,"28 years after nod, Kerala’s Sabari Rail project gains momentum as state govt begins land acquisition process"
1124,"Red-faced over shooting video, Assam BJP now claims post was ‘unauthorised’, sacks social media man"
1125,Anganwadi in Odisha hired a Dalit cook. Then came boycott from parents
1126,‘Remembered as Birsa Munda?’: Rajasthan MP Rajkumar Roat’s remark on Madvi Hidma forces Lok Sabha chair to intervene
1127,Goa minister Atanasio ‘Babush’ Monserrate acquitted in rape case
1128,When Omar Abdullah suggested expunging his own ‘unparliamentary’ remarks in J&K Assembly
1129,‘I want to clarify’: Hardeep Puri fires back after Rahul Gandhi’s Epstein files charge in Lok Sabha
1130,Allow Indians to ‘fire a neta’: Raghav Chadha demands ‘Right to Recall’ law
1131,"Top News Headlines of February 11, 2026 | Bangladesh Elections 2026: Vote timings, key parties, candidates, results; What to know before polling"
1132,Suvendu Adhikari convoy attack: Supreme Court asks Calcutta HC to decide if NIA invoking UAPA is justified
1133,"Railway Board revises quota rules: Emergency Quota added in Vande Bharat Sleeper, Amrit Bharat-II trains"
1134,Rahul Gandhi alleges PM Modi signed ‘one-sided’ US trade deal
1135,"‘We can’t compete’: India-US trade deal raises stakes for Kashmir’s Rs 10,000 crore apple economy"
1136,6 stanzas and 3 minutes 10 seconds: MHA issues first-ever official protocol for Vande Mataram to precede National Anthem
1137,"India ‘buckled under pressure’ on tariffs, gave up data control in US deal, says Rahul Gandhi in Lok Sabha"
1138,"Historic, aligns with our Sabka Sath, Sabka Vikas objective, says BJP"
1139,"TMC opts out of motion: ‘Believe in being tolerant, don’t want to flex muscle’"
1140,All 6 stanzas of National Song must before National Anthem when played together: MHA guidelines on Vande Mataram
1141,"100 victims every hour: Amit Shah warns of ‘national crisis’, says cybercrime has become an industry"
1142,"Parliament Budget Session 2026: Nishikant Dubey moves motion against Rahul Gandhi, seeks termination of LoP’s membership"
1143,"White House quietly revises India-US trade deal fact sheet, drops ‘certain pulses’; tones down statement on purchase of US products worth $500 billion from India ‘commits’ to ‘intends’"
1144,"Will continue OPS, other welfare schemes despite RDG withdrawal: Sukhu, seeks PM’s appointment"
1145,"In RS, Oppn slams Centre on India-US trade deal; wilfully ignorant, says NDA"
1146,‘Defective processes’: Odisha rights panel calls for high-level probe into relocation of villages near tiger reserve
1147,Tension in Manipur’s Ukhrul: How a ‘drunken brawl’ triggered three days of arson and a district-wide internet ban
1148,Will India-US trade deal hurt J&K’s dry fruit industry? What Omar said in Assembly
1149,"Chaos in Bihar Legislature: From ‘ladki’ remark row to physical evictions, why Opposition was forced out of the House"
1150,"Rajnath-led council to discuss procurement of French Rafale jets this week, key nod likely"
1151,Hope US deal won’t mean Delhi-Moscow ties suffer: Russia
1152,"Vikram Misri meets China’s vice-minister; talks focus on border peace, trade"
1153,Move to procure six more P-8I submarine hunters before DAC this week
1154,"‘Cannot be insulated from Parliamentary scrutiny’: Brittas writes to Birla, Radhakrishnan on PM CARES fund"
1155,Only joint statement on US trade deal counts: Govt to House panel
1156,"In Himanta vs Gaurav, a Rs 500 crore defamation suit, a police complaint"
1157,Assam final voter list 2026: Is your name missing after Special Revision? Here’s what you can do
1158,"Railway Board approves new Vande Bharat train, discontinues two existing services – check routes"
1159,"Women collecting firewood trampled by wild elephant in Odisha, 3 killed"
1160,Crowd surge at temple inauguration event in Madhya Pradesh leaves 70-year-old woman dead
1161,"Final note alleges corruption, Madhya Pradesh cop dies after ‘consuming poison’ at police control room"
1162,Over 2.4 lakh more names dropped as Assam releases final voter list after Special Revision
1163,"‘…dil ko behlane ke liye…khayal accha hai’: Tharoor quotes Ghalib, slams Budget as ‘carefully created illusion’"
1164,"Social media rules notified: ‘Prominent’ AI labels, three hour timeline to block content"
1165,Bilateral ties on the table as French President Macron visits on February 17
1166,"Ahead of  civic polls in Telangana, BJP candidate kills self"
1167,"NGT takes suo moto cognizance of Meghalaya coal mine blast, issues notice to state govt, Centre"
1168,"118 Opposition MPs submit notice; TMC not a signatory, wanted to give Speaker more time to address concerns"
1169,"Hoping Centre loosens purse strings, why is Andhra CM Chandrababu Naidu in Delhi?"
1170,Two crucial water projects in Jammu and Kashmir to move forward after Indus treaty suspension
1171,"Fresh violence erupts in Manipur’s Ukhrul district, internet suspended for 5 days"
1172,Assam SR Electoral Roll LIVE Updates: Assam final voters’ list released; 2.43 lakh names deleted from draft roll
1173,"Gold Today Rate, February 10: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
1174,"US releases fact sheet on trade deal, mentions ‘certain pulses’ among agricultural products to see tariffs cut"
1175,Birla urged PM not to come to LS due to unprecedented disorder: Officials
1176,"From Chhattisgarh stage, Shah’s warning to Naxals in Telangana, and a plea to women cadre"
1177,"Congress leader’s request to Amartya Sen, Romila Thapar: Don’t attend Kerala conference ‘aimed at legitimising authoritarian govt’"
1178,"J&K unemployment hits 6.7%, nearly double the national average – and job seekers have paid ₹48 crore in application fees"
1179,Cocaine seller flew under the radar till fake currency he deposited at PNB branch gave him away
1180,"Kashmir defies nature: Tulips bloom in December for first time, months ahead of spring"
1181,"Budget cautious, forgetful  of the past, reform express stuck: Chidambaram in Rajya Sabha"
1182,Congress slams govt over PMO note to Lok Sabha; BJP says UPA kept PM fund out of RTI
1183,"From maritime to digital: India, Seychelles give ties a shot in arm"
1184,"India, Greece sign joint declaration of intent to strengthen defence cooperation"
1185,National interest will guide how India sources its energy: Foreign Secretary Vikram Misri
1186,‘No harassment from I-T’ in CJ Roy death: Confident Group MD rejects claim by chairman’s brother
1187,"‘Next-generation system’: To strengthen tsunami monitoring, Andaman and Nicobar to get regional service centre"
1188,"Indian Railways infra push: Rs 2,414 crore projects approved across Kerala, Tamil Nadu, Jharkhand & Punjab"
1189,From royal courts to AI: How Tripura is reinventing its musical instruments
1190,Lok Sabha adjourned as Opp digs its heels on Rahul being allowed to speak before Budget discussion
1191,"Nearly 90 birds dead in 2 days, Andhra Pradesh steps up fight against bird flu"
1192,"‘Thought of himself as Chanakya, exposed his weakness’: Gaurav Gogoi takes the fight to Himanta"
1193,Bullet train project: Railway Board directs NHSRCL to revise DPRs for new high-speed rail corridors
